,Country,Year,Value,Continent
415,Japan,2022,109.13516955555556,Asia
416,Jordan,2010,86.78491824999999,Asia
417,Jordan,2011,90.450025,Asia
418,Jordan,2012,94.57324,Asia
419,Jordan,2013,98.57613225,Asia
420,Jordan,2014,98.892837,Asia
421,Jordan,2015,100.0046375,Asia
422,Jordan,2016,96.52760283333333,Asia
423,Jordan,2017,96.13154100000001,Asia
424,Jordan,2018,99.23940025,Asia
425,Jordan,2019,99.51465258333333,Asia
426,Jordan,2020,101.82909391666668,Asia
427,Jordan,2021,101.92889708333333,Asia
428,Jordan,2022,105.45714933333333,Asia
429,Kazakhstan,2010,72.53926083333333,Asia
430,Kazakhstan,2011,81.0404865,Asia
431,Kazakhstan,2012,84.63320116666667,Asia
432,Kazakhstan,2013,88.20485316666667,Asia
433,Kazakhstan,2014,93.99106908333333,Asia
434,Kazakhstan,2015,100.05312883333333,Asia
435,Kazakhstan,2016,112.87058333333333,Asia
436,Kazakhstan,2017,122.58898316666667,Asia
437,Kazakhstan,2018,128.6999275,Asia
438,Kazakhstan,2019,139.113091,Asia
439,Kazakhstan,2020,153.63592908333334,Asia
440,Kazakhstan,2021,170.25259441666665,Asia
441,Kazakhstan,2022,197.3985188888889,Asia
442,Kuwait,2010,80.21511258333334,Asia
443,Kuwait,2011,86.26699966666666,Asia
444,Kuwait,2012,90.39178025,Asia
445,Kuwait,2013,94.01407766666667,Asia
446,Kuwait,2014,96.74184433333333,Asia
447,Kuwait,2015,100.01626850000001,Asia
448,Kuwait,2016,101.92680966666667,Asia
449,Kuwait,2017,101.617037,Asia
450,Kuwait,2018,101.61455224999999,Asia
451,Kuwait,2019,102.70828158333335,Asia
452,Kuwait,2020,107.72055275000001,Asia
453,Kuwait,2021,117.93394041666666,Asia
454,Kuwait,2022,125.49824722222222,Asia
455,Kyrgyzstan,2010,70.59181541666666,Asia
456,Kyrgyzstan,2011,88.17601733333333,Asia
457,Kyrgyzstan,2012,84.58935816666667,Asia
458,Kyrgyzstan,2013,89.14146175,Asia
459,Kyrgyzstan,2014,96.49015275,Asia
460,Kyrgyzstan,2015,100.03417225,Asia
461,Kyrgyzstan,2016,93.55205616666666,Asia
462,Kyrgyzstan,2017,95.85266358333332,Asia
463,Kyrgyzstan,2018,93.78152566666667,Asia
464,Kyrgyzstan,2019,95.04542833333333,Asia
465,Kyrgyzstan,2020,106.14454725,Asia
466,Kyrgyzstan,2021,125.21576141666667,Asia
467,Kyrgyzstan,2022,143.75697333333335,Asia
468,Latvia,2010,90.34194416666666,Europe
469,Latvia,2011,97.97506833333334,Europe
470,Latvia,2012,100.24159166666668,Europe
471,Latvia,2013,101.55400833333333,Europe
472,Latvia,2014,101.27910083333335,Europe
473,Latvia,2015,99.99999166666667,Europe
474,Latvia,2016,101.0695975,Europe
475,Latvia,2017,106.71941666666667,Europe
476,Latvia,2018,107.33514166666667,Europe
477,Latvia,2019,110.46299166666667,Europe
478,Latvia,2020,113.10940833333335,Europe
479,Latvia,2021,115.63997499999999,Europe
480,Latvia,2022,136.5258111111111,Europe
481,Lebanon,2010,84.40382216666667,Asia
482,Lebanon,2011,89.83461233333333,Asia
483,Lebanon,2012,95.16206516666666,Asia
484,Lebanon,2013,97.58696291666666,Asia
485,Lebanon,2014,101.12423733333333,Asia
486,Lebanon,2015,100.01649091666667,Asia
487,Lebanon,2016,98.81210675,Asia
488,Lebanon,2017,102.41519833333332,Asia
489,Lebanon,2018,107.56167441666666,Asia
490,Lebanon,2019,112.18381366666667,Asia
491,Lebanon,2020,397.08096191666664,Asia
492,Lebanon,2021,1630.7431588333332,Asia
493,Lebanon,2022,4864.737061333333,Asia
494,Lithuania,2010,88.26245833333333,Europe
495,Lithuania,2011,95.54754166666667,Europe
496,Lithuania,2012,98.45965833333334,Europe
