Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","105.497751","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.619945","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","105.105026","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","104.540371","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","104.807579","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","105.333886","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","105.679695","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","106.049924","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","107.08291","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","107.277313","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","107.565074","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","106.988299","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","107.21052","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","107.383683","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","107.162097","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","107.040743","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","107.866794","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","108.75829","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","110.297312","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.338709","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","111.733693","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","111.978916","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","112.409057","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","112.500341","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","112.371914","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","112.547543","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","112.323717","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","111.57887","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","111.935387","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","112.829591","X","Figure from international organizations","base year is 2015"
